month,date
1,3
1,5
1,7
1,8
1,10
1,16
1,17
1,21
1,23
1,25
2,4
2,5
2,9
2,13
2,15
2,27
2,28
2,29
3,13
3,18
3,19
3,21
3,22
3,27
3,28
4,7
4,8
4,9
4,11
4,12
4,16
4,17
4,18
4,19
4,23
4,25
4,27
5,1
5,2
5,3
5,4
5,6
5,7
5,8
5,9
5,15
5,16
5,17
5,22
5,23
5,24
5,26
5,30
5,31
6,19
7,18
7,22
7,23
7,25
8,1
8,11
8,14
8,16
8,19
8,21
8,22
8,23
8,25
8,28
8,29
9,5
9,6
9,9
9,11
9,15
9,17
9,19
9,20
9,22
9,23
9,24
9,25
10,7
10,9
10,10
10,15
10,16
10,17
10,21
10,22
10,23
10,24
10,28
10,29
10,31
11,7
11,8
11,12
11,13
11,14
11,19
11,20
11,21
11,23
11,24
11,26
11,29
11,30
12,1
12,4
12,6
12,9
12,11
12,12
12,13
12,16
12,17
12,20
12,29
12,30
